zip,donations,total,NAME,population,B01003_001M,rate_per_1000
20776,1963,65721.77000000003,ZCTA5 20776,2940,545,667.69
20777,293,20180.67,ZCTA5 20777,3444,447,85.08
20778,393,16143.259999999997,ZCTA5 20778,2460,680,159.76
20779,125,5277.000000000001,ZCTA5 20779,956,279,130.75
20781,158,10096.329999999998,ZCTA5 20781,11460,964,13.79
20782,7196,26050.830000000293,ZCTA5 20782,32527,1828,221.23
20783,527,9823.730000000003,ZCTA5 20783,45550,2710,11.57
20784,379,17513.350000000002,ZCTA5 20784,30381,1552,12.47
20785,651,38606.709999999955,ZCTA5 20785,39237,1792,16.59
20791,17,605.24,NA,NA,NA,NA
20794,793,15510.410000000007,ZCTA5 20794,16956,1301,46.77
20797,23,328.5799999999999,NA,NA,NA,NA
20810,7,102.54999999999998,NA,NA,NA,NA
20811,8,255,NA,NA,NA,NA
20812,15,2051.1,ZCTA5 20812,323,97,46.44
20813,43,670.26,NA,NA,NA,NA
20814,2487,202639.16000000053,ZCTA5 20814,29632,1515,83.93
20815,3805,721210.8099999983,ZCTA5 20815,30908,1587,123.11
20816,2495,284897.07999999885,ZCTA5 20816,16661,1357,149.75
20817,3009,522987.4099999978,ZCTA5 20817,38131,1659,78.91
20818,316,18863.17999999999,ZCTA5 20818,2072,451,152.51
20824,2,10,NA,NA,NA,NA
20825,4,269.4,NA,NA,NA,NA
20827,174,2008.82,NA,NA,NA,NA
20830,20,467.1,NA,NA,NA,NA
20832,3362,114980.55000000096,ZCTA5 20832,25427,1426,132.22
20833,963,30259.05999999992,ZCTA5 20833,7746,1233,124.32
20837,3241,57977.12000000006,ZCTA5 20837,6129,266,528.8
20838,24,941.08,ZCTA5 20838,377,209,63.66
20839,18,512.8499999999999,ZCTA5 20839,139,139,129.5
20841,744,21229.879999999983,ZCTA5 20841,11692,1315,63.63
20842,136,10108.009999999997,ZCTA5 20842,1467,233,92.71
20849,62,737.24,NA,NA,NA,NA
20850,5886,203583.64000000097,ZCTA5 20850,53522,1433,109.97
20851,719,18287.63,ZCTA5 20851,14519,1274,49.52
20852,4380,157263.340000001,ZCTA5 20852,47338,2156,92.53
20853,2626,124813.38000000051,ZCTA5 20853,31510,2199,83.34
20854,12131,944799.1799999998,ZCTA5 20854,49196,1953,246.59
20855,2795,92437.87000000042,ZCTA5 20855,15955,1470,175.18
20857,2,50,NA,NA,NA,NA
20859,988,20682.46999999992,NA,NA,NA,NA
20860,292,14416.610000000002,ZCTA5 20860,2890,771,101.04
20861,257,11465.850000000008,ZCTA5 20861,2015,592,127.54
20862,70,3784.6399999999976,ZCTA5 20862,359,160,194.99
20866,1219,25807.389999999996,ZCTA5 20866,16974,2024,71.82
20868,122,2218.01,ZCTA5 20868,539,206,226.35
20871,4612,80923.96000000063,ZCTA5 20871,18961,1564,243.24
20872,1755,39932.7499999999,ZCTA5 20872,12790,1214,137.22
20874,4528,132768.29000000193,ZCTA5 20874,60258,2359,75.14
20875,139,4183.309999999999,NA,NA,NA,NA
20876,3321,59598.96000000026,ZCTA5 20876,31703,2150,104.75
20877,4482,135030.5500000012,ZCTA5 20877,37948,1745,118.11
20878,6764,261582.07000000097,ZCTA5 20878,63576,2164,106.39
20879,1423,46258.66000000008,ZCTA5 20879,26343,1585,54.02
20880,2579,3529.360000000013,ZCTA5 20880,530,148,4866.04
20882,2077,55039.370000000104,ZCTA5 20882,14441,1104,143.83
20883,8,379.61,NA,NA,NA,NA
20884,1,1,NA,NA,NA,NA
20885,26,173.35,NA,NA,NA,NA
20886,2666,44448.79999999998,ZCTA5 20886,34887,2194,76.42
20888,51,227.00000000000003,NA,NA,NA,NA
20889,3,2,NA,NA,NA,NA
20895,1821,84943.84000000029,ZCTA5 20895,18930,1034,96.2
20896,54,6205.740000000002,ZCTA5 20896,792,130,68.18
20901,1373,39357.02999999992,ZCTA5 20901,36802,1827,37.31
20902,2665,111594.10000000116,ZCTA5 20902,52752,2497,50.52
20903,587,24608.239999999972,ZCTA5 20903,26951,1813,21.78
20904,3751,162519.77000000112,ZCTA5 20904,55856,2452,67.15
20905,1413,51927.54000000004,ZCTA5 20905,18590,1534,76.01
20906,5229,113328.51000000157,ZCTA5 20906,70441,2794,74.23
20907,40,632.9200000000002,NA,NA,NA,NA
20908,1,20.24,NA,NA,NA,NA
20910,4974,124519.65000000046,ZCTA5 20910,43729,1969,113.75
20912,343,14698.359999999995,ZCTA5 20912,25118,1333,13.66
20913,1,52.05,NA,NA,NA,NA
20914,1,100,NA,NA,NA,NA
20915,2,10.42,NA,NA,NA,NA
20916,2,10,NA,NA,NA,NA
20918,1,1,NA,NA,NA,NA
20938,1,250,NA,NA,NA,NA
21001,1059,32703.409999999927,ZCTA5 21001,24959,891,42.43
21005,51,1740.7099999999998,ZCTA5 21005,2724,553,18.72
21009,5140,66653.2000000004,ZCTA5 21009,31683,1841,162.23
21010,4,76,ZCTA5 21010,329,259,12.16
21011,6,194,NA,NA,NA,NA
21012,3137,92377.88000000056,ZCTA5 21012,22746,1598,137.91
21013,1870,51311.059999999954,ZCTA5 21013,5157,685,362.61
21014,7659,148802.47000000265,ZCTA5 21014,35668,1407,214.73
21015,4943,124358.7200000016,ZCTA5 21015,28975,1810,170.6
21017,616,9860.279999999992,ZCTA5 21017,6034,713,102.09
21020,2,73.93,NA,NA,NA,NA
21022,6,353.2,NA,NA,NA,NA
21023,18,1727.7,NA,NA,NA,NA
21028,651,12705.77,ZCTA5 21028,2609,324,249.52
21029,996,55820.07999999995,ZCTA5 21029,11523,1241,86.44
21030,2511,108375.52000000064,ZCTA5 21030,24152,1767,103.97
21031,3,121.07,ZCTA5 21031,26,43,115.38
21032,2557,106763.8800000004,ZCTA5 21032,7787,892,328.37
21034,196,4830.949999999999,ZCTA5 21034,3178,430,61.67
21035,1619,105207.05000000032,ZCTA5 21035,8315,783,194.71
21036,128,7781.639999999995,ZCTA5 21036,2243,384,57.07
21037,2560,132253.67000000077,ZCTA5 21037,21134,1407,121.13
21040,1925,35919.79999999996,ZCTA5 21040,24717,1846,77.88
21041,24,1808.51,NA,NA,NA,NA
21042,5156,197983.37000000064,ZCTA5 21042,42157,1972,122.3
21043,6185,122321.36000000112,ZCTA5 21043,46747,1981,132.31
21044,2871,89628.98000000049,ZCTA5 21044,45741,2090,62.77
21045,2114,65944.75000000004,ZCTA5 21045,40265,1779,52.5
21046,1732,41757.79999999992,ZCTA5 21046,15597,1212,111.05
21047,1600,55999.08000000003,ZCTA5 21047,12629,1414,126.69
21048,1342,54494.54000000002,ZCTA5 21048,9719,893,138.08
21050,2703,80880.23000000008,ZCTA5 21050,17846,1210,151.46
21051,23,1247.9199999999998,ZCTA5 21051,231,105,99.57
21052,33,576.63,ZCTA5 21052,179,86,184.36
21053,1337,18719.859999999982,ZCTA5 21053,3134,513,426.61
21054,1243,55027.50999999999,ZCTA5 21054,11697,1538,106.27
21056,146,61699,ZCTA5 21056,333,262,438.44
21057,803,30587.21999999996,ZCTA5 21057,4109,682,195.42
21060,2913,77188.22000000016,ZCTA5 21060,36049,1961,80.81
21061,4334,94884.25000000096,ZCTA5 21061,55020,2670,78.77
21071,73,2712.2000000000007,ZCTA5 21071,454,271,160.79
21074,1937,41324.14,ZCTA5 21074,14933,972,129.71
21075,1098,38737.78999999992,ZCTA5 21075,34939,1990,31.43
21076,1184,37133.1999999999,ZCTA5 21076,17947,1664,65.97
21077,3,86.21000000000001,ZCTA5 21077,235,143,12.77
21078,3100,79610.61000000061,ZCTA5 21078,18957,745,163.53
21082,236,4434.750000000003,ZCTA5 21082,608,197,388.16
21084,1880,31766.83999999992,ZCTA5 21084,7670,797,245.11
21085,2769,60720.31000000001,ZCTA5 21085,16318,1097,169.69
21087,2194,51768.68000000009,ZCTA5 21087,5437,505,403.53
21088,5,207.86,NA,NA,NA,NA
21090,912,24629.47999999995,ZCTA5 21090,9715,1036,93.88
21092,1,48.93,NA,NA,NA,NA
21093,9103,260605.55000000255,ZCTA5 21093,38245,1687,238.02
21094,15,371.92,NA,NA,NA,NA
21102,1820,33108.76999999995,ZCTA5 21102,12043,939,151.13
21104,1121,24535.42999999998,ZCTA5 21104,6029,774,185.93
21106,2,73.93,NA,NA,NA,NA
21108,2665,93759.31000000042,ZCTA5 21108,19136,1262,139.27
21111,900,31044.06999999993,ZCTA5 21111,5343,693,168.44
21113,2621,93812.13000000056,ZCTA5 21113,35210,2691,74.44
21114,5108,183088.8100000013,ZCTA5 21114,26460,1506,193.05
21117,3482,100675.68000000092,ZCTA5 21117,59663,2433,58.36
21120,1165,36591.729999999945,ZCTA5 21120,6775,680,171.96
21122,9814,198584.7000000016,ZCTA5 21122,59664,2771,164.49
21123,23,811.1700000000001,NA,NA,NA,NA
21128,1706,38107.33999999993,ZCTA5 21128,13967,1031,122.15
21130,5,202,ZCTA5 21130,104,106,48.08
21131,986,53588.45,ZCTA5 21131,7587,794,129.96
21132,1935,26892.71999999997,ZCTA5 21132,3162,626,611.95
21133,853,11557.72999999996,ZCTA5 21133,32714,1926,26.07
21136,5753,117010.2300000019,ZCTA5 21136,34347,1557,167.5
21139,72,2126.1,NA,NA,NA,NA
21140,372,14685.769999999997,ZCTA5 21140,3862,452,96.32
21144,4088,93118.1200000007,ZCTA5 21144,35680,2267,114.57
21146,4267,170297.64000000138,ZCTA5 21146,27634,1534,154.41
21150,2,260,NA,NA,NA,NA
21152,506,25937.42999999998,ZCTA5 21152,5349,926,94.6
21153,84,9404.070000000003,ZCTA5 21153,348,163,241.38
21154,1432,32637.779999999988,ZCTA5 21154,6467,874,221.43
21155,225,8949.849999999999,ZCTA5 21155,2363,452,95.22
21156,38,1853.68,ZCTA5 21156,371,156,102.43
21157,4538,133764.6600000017,ZCTA5 21157,38714,1415,117.22
21158,2036,62736.160000000025,ZCTA5 21158,20773,945,98.01
21160,432,7897.949999999998,ZCTA5 21160,2615,791,165.2
21161,855,25529.959999999937,ZCTA5 21161,5738,842,149.01
21162,327,8861.850000000008,ZCTA5 21162,4089,466,79.97
21163,2253,31190.8699999999,ZCTA5 21163,6602,797,341.26
21164,1,100,NA,NA,NA,NA
21201,1094,21142.500000000044,ZCTA5 21201,17534,1206,62.39
21202,492,22378.09999999997,ZCTA5 21202,21880,1571,22.49
21203,13,4779.48,NA,NA,NA,NA
21204,8428,189115.3200000032,ZCTA5 21204,21518,1258,391.67
21205,80,3283.3199999999997,ZCTA5 21205,15900,1344,5.03
21206,814,20841.259999999973,ZCTA5 21206,51670,2198,15.75
21207,511,14736.519999999984,ZCTA5 21207,50440,2781,10.13
21208,3218,69404.8800000002,ZCTA5 21208,35273,2207,91.23
21209,1197,39362.56999999995,ZCTA5 21209,28621,2270,41.82
21210,586,22138.40999999998,ZCTA5 21210,16076,1123,36.45
21211,373,14625.330000000002,ZCTA5 21211,15735,803,23.71
21212,1784,57711.109999999935,ZCTA5 21212,33865,1962,52.68
21213,222,5964.939999999996,ZCTA5 21213,30596,2339,7.26
21214,930,10893.830000000007,ZCTA5 21214,21666,1457,42.92
21215,1294,21237.409999999996,ZCTA5 21215,55081,2574,23.49
21216,38,780.86,ZCTA5 21216,28733,2204,1.32
21217,524,7613.850000000001,ZCTA5 21217,32830,2015,15.96
21218,1068,22943.169999999973,ZCTA5 21218,46172,2131,23.13
21219,1407,24274.23999999998,ZCTA5 21219,9454,801,148.83
21220,6821,123716.15000000082,ZCTA5 21220,41067,2494,166.09
21221,3435,71861.3400000003,ZCTA5 21221,41899,2072,81.98
21222,3186,58565.289999999986,ZCTA5 21222,56946,2239,55.95
21223,189,5440.709999999999,ZCTA5 21223,21974,1888,8.6
21224,4252,97096.64000000036,ZCTA5 21224,48770,2381,87.18
21225,1693,20727.42999999996,ZCTA5 21225,33227,2362,50.95
21226,355,6695.000000000005,ZCTA5 21226,6699,1340,52.99
21227,1904,36017.46000000001,ZCTA5 21227,33396,1947,57.01
21228,8380,190287.5699999994,ZCTA5 21228,49438,2109,169.51
21229,1451,43146.99999999995,ZCTA5 21229,45983,2344,31.56
21230,3292,42890.42000000036,ZCTA5 21230,33592,1510,98
21231,156,11765.870000000004,ZCTA5 21231,15906,975,9.81
21234,4150,80660.86000000071,ZCTA5 21234,68678,2816,60.43
21236,5367,102116.84000000118,ZCTA5 21236,37803,1711,141.97
21237,1956,57059.060000000005,ZCTA5 21237,31105,1958,62.88
21239,410,10179.439999999997,ZCTA5 21239,30143,2178,13.6
21240,1,26.03,ZCTA5 21240,0,13,Inf
21241,2,75,NA,NA,NA,NA
21244,549,13203.5,ZCTA5 21244,36897,2382,14.88
21247,7,167.08,NA,NA,NA,NA
21250,2,105.21,ZCTA5 21250,2443,399,0.82
21251,50,1973.96,ZCTA5 21251,1652,353,30.27
21252,4,100,ZCTA5 21252,2040,211,1.96
21263,6,84.28,NA,NA,NA,NA
21279,5,73,NA,NA,NA,NA
21284,4,313.29999999999995,NA,NA,NA,NA
21286,3403,97379.96999999994,ZCTA5 21286,19711,945,172.64
21287,1,1,NA,NA,NA,NA
21401,8690,458704.35999999574,ZCTA5 21401,38788,1562,224.04
21402,64,1129.13,ZCTA5 21402,6460,2208,9.91
21403,3952,180484.76000000135,ZCTA5 21403,31218,1926,126.59
21404,14,3117.25,NA,NA,NA,NA
21405,107,3649.420000000001,ZCTA5 21405,398,168,268.84
21409,4980,188649.09000000064,ZCTA5 21409,19304,1092,257.98
21412,6,172.66000000000005,NA,NA,NA,NA
21501,5,30,NA,NA,NA,NA
21502,4775,103737.06000000116,ZCTA5 21502,41735,1027,114.41
21505,2,42.14,NA,NA,NA,NA
21520,98,3721.250000000001,ZCTA5 21520,2003,391,48.93
21521,33,1075.8800000000003,ZCTA5 21521,1183,238,27.9
21522,1,47,ZCTA5 21522,218,106,4.59
21523,7,86.89,ZCTA5 21523,180,88,38.89
21524,20,457.2,ZCTA5 21524,831,274,24.07
21529,57,1045.86,ZCTA5 21529,467,137,122.06
21530,89,1889.75,ZCTA5 21530,1923,385,46.28
21531,246,7033.79,ZCTA5 21531,1744,266,141.06
21532,2300,30815.46000000011,ZCTA5 21532,14498,670,158.64
21536,814,7843.590000000014,ZCTA5 21536,3984,466,204.32
21538,29,862.24,ZCTA5 21538,525,209,55.24
21539,32,1421.7499999999998,ZCTA5 21539,2664,430,12.01
21540,1,21.07,ZCTA5 21540,90,52,11.11
21541,216,9666.629999999996,ZCTA5 21541,1536,325,140.62
21543,280,4508.579999999999,ZCTA5 21543,229,107,1222.71
21545,64,1568.5600000000002,ZCTA5 21545,1771,252,36.14
21550,1221,35610.61999999992,ZCTA5 21550,14327,626,85.22
21552,1,1,NA,NA,NA,NA
21555,98,2438.6499999999987,ZCTA5 21555,1501,271,65.29
21556,2,53.05,NA,NA,NA,NA
21557,69,1298.9399999999994,ZCTA5 21557,1592,434,43.34
21560,40,438.4,NA,NA,NA,NA
21561,323,20203.78999999999,ZCTA5 21561,2392,321,135.03
21562,73,1325.5500000000004,ZCTA5 21562,3426,653,21.31
21601,3519,198588.0400000003,ZCTA5 21601,23338,634,150.78
21607,10,253.65,ZCTA5 21607,770,239,12.99
21610,22,612.65,ZCTA5 21610,412,106,53.4
21612,40,2340.93,ZCTA5 21612,597,297,67
21613,1016,25820.179999999946,ZCTA5 21613,17115,428,59.36
21617,1393,44502.849999999904,ZCTA5 21617,10534,743,132.24
21619,1752,53307.83999999997,ZCTA5 21619,5789,629,302.64
21620,3547,57317.93000000011,ZCTA5 21620,12989,739,273.08
21622,47,1015.8599999999996,ZCTA5 21622,704,191,66.76
21623,160,11603.930000000004,ZCTA5 21623,2248,318,71.17
21624,2,200,ZCTA5 21624,115,80,17.39
21625,181,6536.09,ZCTA5 21625,2401,346,75.39
21628,76,1665.3,ZCTA5 21628,324,134,234.57
21629,702,26028.75999999993,ZCTA5 21629,9464,528,74.18
21631,106,2140.9599999999996,ZCTA5 21631,2708,403,39.14
21632,385,8560.209999999992,ZCTA5 21632,5885,356,65.42
21634,12,660.53,ZCTA5 21634,243,120,49.38
21635,909,25782.629999999972,ZCTA5 21635,1970,388,461.42
21636,140,3741.630000000001,ZCTA5 21636,837,253,167.26
21638,688,24723.95999999996,ZCTA5 21638,5227,664,131.62
21639,299,4298.609999999999,ZCTA5 21639,5410,522,55.27
21640,21,870.59,ZCTA5 21640,1467,295,14.31
21643,129,3421.1600000000003,ZCTA5 21643,5956,572,21.66
21644,21,1489.06,ZCTA5 21644,78,41,269.23
21645,799,16686.719999999976,ZCTA5 21645,1345,363,594.05
21647,2,1046.02,ZCTA5 21647,357,143,5.6
21648,6,292.18000000000006,ZCTA5 21648,126,71,47.62
21649,11,251.31,ZCTA5 21649,2204,499,4.99
21650,36,743.2800000000001,ZCTA5 21650,296,153,121.62
21651,114,4187.79,ZCTA5 21651,2683,531,42.49
21652,6,186.33,ZCTA5 21652,149,82,40.27
21653,5,115.48,ZCTA5 21653,96,75,52.08
21654,475,35940.680000000015,ZCTA5 21654,1221,250,389.03
21655,911,15795.929999999988,ZCTA5 21655,4763,458,191.27
21657,81,4380.89,ZCTA5 21657,727,188,111.42
21658,1085,46045.019999999975,ZCTA5 21658,4177,427,259.76
21659,3060,58483.720000000016,ZCTA5 21659,1509,319,2027.83
21660,318,8391.409999999993,ZCTA5 21660,4361,386,72.92
21661,1483,30077.569999999967,ZCTA5 21661,2695,327,550.28
21662,168,15801.980000000009,ZCTA5 21662,369,101,455.28
21663,1221,42010.009999999944,ZCTA5 21663,3715,402,328.67
21664,12,606.3299999999999,ZCTA5 21664,497,133,24.14
21665,55,6186.34,ZCTA5 21665,194,120,283.51
21666,2612,85565.16000000027,ZCTA5 21666,13463,870,194.01
21667,5,207,ZCTA5 21667,255,131,19.61
21668,399,6508.429999999995,ZCTA5 21668,1763,360,226.32
21669,15,1276.6999999999998,ZCTA5 21669,114,61,131.58
21671,57,2785.99,ZCTA5 21671,808,201,70.54
21672,2,46.05,ZCTA5 21672,149,71,13.42
21673,188,8611.570000000002,ZCTA5 21673,3019,326,62.27
21675,1,25,ZCTA5 21675,57,35,17.54
21676,21,710.0500000000001,ZCTA5 21676,367,166,57.22
21677,128,1134.9900000000007,ZCTA5 21677,579,215,221.07
21678,43,1922.5899999999997,ZCTA5 21678,1549,313,27.76
21679,81,2694.7099999999996,ZCTA5 21679,272,126,297.79
21701,6057,114826.3500000018,ZCTA5 21701,38390,1286,157.78
21702,5174,126991.27000000182,ZCTA5 21702,41729,1851,123.99
21703,2098,67041.95000000004,ZCTA5 21703,37048,1838,56.63
21704,1240,58343.60999999997,ZCTA5 21704,16478,1144,75.25
21705,33,1493.22,ZCTA5 21705,4,9,8250
21710,301,13761.380000000008,ZCTA5 21710,4847,701,62.1
21711,27,898.0700000000002,ZCTA5 21711,1139,318,23.71
21713,1288,40229.73999999996,ZCTA5 21713,9979,769,129.07
21714,12,290.82000000000005,ZCTA5 21714,179,186,67.04
21715,22,502.48,NA,NA,NA,NA
21716,540,16379.819999999992,ZCTA5 21716,5453,322,99.03
21717,54,1939.79,ZCTA5 21717,126,142,428.57
21718,6,494.52,ZCTA5 21718,167,41,35.93
21719,58,2473.4699999999993,ZCTA5 21719,1074,230,54
21720,6,386.2199999999999,NA,NA,NA,NA
21721,45,432.32,NA,NA,NA,NA
21722,317,9866.599999999997,ZCTA5 21722,6389,1193,49.62
21723,215,3686.479999999998,ZCTA5 21723,648,193,331.79
21727,756,28446.509999999995,ZCTA5 21727,6965,488,108.54
21733,22,980.28,ZCTA5 21733,988,336,22.27
21734,64,1267.72,ZCTA5 21734,840,233,76.19
21737,149,9376.609999999995,ZCTA5 21737,2476,698,60.18
21738,1641,31309.770000000022,ZCTA5 21738,3861,544,425.02
21740,41865,136944.65000000247,ZCTA5 21740,60922,1661,687.19
21741,22,466.39,NA,NA,NA,NA
21742,5487,163741.37000000075,ZCTA5 21742,33425,1957,164.16
21746,9,552.02,ZCTA5 21746,3036,560,2.96
21750,165,5061.7199999999975,ZCTA5 21750,3787,442,43.57
21754,1220,39970.79999999996,ZCTA5 21754,7117,909,171.42
21755,504,21364.609999999982,ZCTA5 21755,5745,532,87.73
21756,336,22238.630000000005,ZCTA5 21756,2912,470,115.38
21757,196,10792.840000000004,ZCTA5 21757,2753,364,71.2
21758,1294,30557.549999999916,ZCTA5 21758,4616,710,280.33
21762,53,2202.48,ZCTA5 21762,131,67,404.58
21765,6,551.1,NA,NA,NA,NA
21766,177,1711.669999999999,ZCTA5 21766,660,273,268.18
21767,271,2927.9700000000003,ZCTA5 21767,694,280,390.49
21769,1570,39481.69999999997,ZCTA5 21769,11868,704,132.29
21770,723,20556.359999999997,ZCTA5 21770,6145,1091,117.66
21771,6746,150894.49000000267,ZCTA5 21771,31366,2024,215.07
21773,402,13039.27,ZCTA5 21773,5404,579,74.39
21774,2844,60800.73000000003,ZCTA5 21774,13618,983,208.84
